,title,experience,location,skills
0,Technical Library IT Specialist تكنولوجيا المعلومات,4 - 9 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Diploma or recognized apprenticeship in IT library discipline 2- Minimum four (4) years of experience in same filed
0,Sport Recreation Technician فنيو الرياضة الاستجمام,4 - 9 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Diploma or recognized apprenticeship in related Sports 2- Minimum four (4) years of experience in same filed
0,INFOR LN APPLICATION MANAGER,5 - 10 Year(s),Jeddah - Saudi Arabia,• Completely involved in all phases of ERP Implementation
0,Swimming Pool & Fountains Technicianفني سباحة ونوافير,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",Diploma in electrical with minimum 5 Years experience
0,Store Keeper امين المخزن,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Minimum high school certificate 2 - Minimum three years of experience in the operation of the same position in similar facilities
0,Principal Design Engineer,15 - 20 Year(s),Saudi Arabia - Saudi Arabia,We are looking for a Principal Design Engineer Candidates should have min 15 years of experience Should have experience in design/engineering of...
0,OHTL Design engineer,15 - 20 Year(s),Saudi Arabia - Saudi Arabia,We are looking for OHTL Design engineer Candidates should have min 15 years experience Should have experience in design/engineering of...
0,Principal Designer,15 - 25 Year(s),Saudi Arabia - Saudi Arabia,Having more than 15 years experience predominantly in engineering of high/medium voltage substations including AIS/GIS/switchyards
0,Senior Engineer,10 - 16 Year(s),Saudi Arabia - Saudi Arabia,Having more than 10 years of experience in design/engineering related to oil/gas projects;Substation experience preferred
0,SENIOR AIR QUALITY /METEOROLOGY SPECIALIST,8 - 10 Year(s),Jubail - Saudi Arabia,The Candidate should have a Bachelors degree in Chemical / Environmental Engineering (Post Graduates is preferred) with 8 years working experience in...
0,AIR QUALITY / METEOROLOGY TECHNICIAN,2 - 3 Year(s),Jubail - Saudi Arabia,A Chemical Engineering graduate with at least 3 to 5 years of working experience in chemical/ petrochemical plants or refineries as engineer; Capable to...
0,AIR QUALITY /METEOROLOGY SPECIALIST,3 - 5 Year(s),Jubail - Saudi Arabia,The Candidate should have a Bachelors degree in Chemical / Environmental Engineering with 4 years working experience in air quality as below
0,AIR QUALITY/ MONITORING COMPUTER TECHNICIAN,3 - 4 Year(s),Jubail - Saudi Arabia,PostgreSQL and experience with large environmental data tracking systems and integration projects;PostgreSQL and experience with large environmental...
0,SENIOR FIELD TECHNICIAN,4 - 5 Year(s),Jubail - Saudi Arabia,Shall be a degree holder in Electronics or Electrical Engineering and Four years related experience is required;Shall be a degree holder in Electronics...
0,Accountant,12 - 15 Year(s),Riyadh - Saudi Arabia,We are looking for an Accountant Candidates should have min 12 years of experience Should have experience in engineering Consulting Company...
0,Senior Accountant,4 - 9 Year(s),Saudi Arabia - Saudi Arabia,Driving License is must Min qualification - B Com Experience - Min 4 years Experienced in
0,Safety Manager,9 - 18 Year(s),Jubail - Saudi Arabia,"Good knowledge and experience in firefighting system handling;This role not only ensures the health and safety of the workers but also of the workplace,..."
0,Marine Construction Expert,15 - 26 Year(s),Ras al Khair - Saudi Arabia,"Candidates should have experience of new port and shipyeard construction including such things as dredging and reclamation, quay walls, breakwaters,..."
0,Medical Coding Trainer - ICD10-AM,4 - 9 Year(s),Jeddah - Saudi Arabia,Minimum of 2 years medical coding Training in a professional coding training institute experience mandatory;Excellent communication skills with neutral...
0,Male Nurse @ Saudi Arabia _,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,"We are looking for Male Nurse for Saudi Arabia Candidate would be preferred with valid Saudi Prometric for 2 year , Valid MOH license of Nurse will..."
0,Electrical Electronics Engineer إلكترونيات كهربائية,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",1- Minimum Bachelor degree in Electronics Engineering from an accredited College or University 2 - Minimum 7 years experience specializing in...
0,Building Management System (BMS) Engineer اعمال صيانة,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",2 -• Minimum seven 7 years’ experience in the Building Management System (BMS) maintenance and to include experience in large size...
0,Biomedical Service Engineer مهندس الطب الحيوي,7 - 14 Year(s),"Jeddah , Riyadh - Saudi Arabia",Minimum 7 years’ experience specializing in the field of healthcare maintenance services and to include experience in similar equipment;Preferably...
0,Civil Engineer مهندس مدني,5 - 10 Year(s),"Jeddah , Riyadh - Saudi Arabia",• Minimum five years of experience and to include at least three years in the operation and maintenance of building/civil services in...
0,Technician and Skilled Labors فنيين وعمال مهرة,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1 - Minimum Diploma in the same trade from an accredited organization;2 - Minimum three years of experience in large projects 3 - Computers and...
0,Chiller Engineer / HVAC Engineer مهندس التبريد,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Minimum Bachelor degree in Mechanical engineering from an accredited Engineering College or university 2- Minimum 8 years’ experience in...
0,Technical Library IT Specialist تكنولوجيا المعلومات,4 - 9 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Diploma or recognized apprenticeship in IT library discipline 2- Minimum four (4) years of experience in same filed
0,Sport Recreation Technician فنيو الرياضة الاستجمام,4 - 9 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Diploma or recognized apprenticeship in related Sports 2- Minimum four (4) years of experience in same filed
0,INFOR LN APPLICATION MANAGER,5 - 10 Year(s),Jeddah - Saudi Arabia,• Completely involved in all phases of ERP Implementation
0,Swimming Pool & Fountains Technicianفني سباحة ونوافير,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",Diploma in electrical with minimum 5 Years experience
0,Store Keeper امين المخزن,3 - 8 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",1- Minimum high school certificate 2 - Minimum three years of experience in the operation of the same position in similar facilities
0,Principal Design Engineer,15 - 20 Year(s),Saudi Arabia - Saudi Arabia,We are looking for a Principal Design Engineer Candidates should have min 15 years of experience Should have experience in design/engineering of...
0,OHTL Design engineer,15 - 20 Year(s),Saudi Arabia - Saudi Arabia,We are looking for OHTL Design engineer Candidates should have min 15 years experience Should have experience in design/engineering of...
0,Principal Designer,15 - 25 Year(s),Saudi Arabia - Saudi Arabia,Having more than 15 years experience predominantly in engineering of high/medium voltage substations including AIS/GIS/switchyards
0,Male Nurse @ Saudi Arabia _,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,"We are looking for Male Nurse for Saudi Arabia Candidate would be preferred with valid Saudi Prometric for 2 year , Valid MOH license of Nurse will..."
0,Production Planner,5 - 10 Year(s),Jeddah - Saudi Arabia,Need production planner for manufacturing factory. having experience of demand planning.
0,Executive Secretary for Saudi Aramco Gulf Operations - KSA,15 - 26 Year(s),Khafji - Saudi Arabia,"Responsible for supporting high-level executives and management or entire departments. Provides administrative support and performs numerous duties,..."
0,Automotive Technician,5 - 10 Year(s),"Dammam, Jeddah, Rabigh - Saudi Arabia",Contribution
0,Staff Nurse,2 - 8 Year(s),Abha - Saudi Arabia,Required Candidate profile The candidate must be B.sc Nursing having at least 2 ears of Experience in any Department;Candidates with License/...
0,Personal Driver,2 - 8 Year(s),Dammam - Saudi Arabia,"We are looking for Personal Driver for Dammam, KSA Job description"
0,Millwright Technician,7 - 10 Year(s),Jubail - Saudi Arabia,- Possess positive attitude with developed interpersonal skills to resolve issues and challenges - Should have thorough knowledge in overhauling of...
0,Maintenance Planner,10 - 15 Year(s),Jubail - Saudi Arabia,10 years of filed maintenance work experience in petrochemical industry and Planning experience 3-5 years;Support/participate in Emergency Drills and...
0,Data Analyst Programmer,1 - 6 Year(s),"Dammam, Dammam / Khobar / Eastern Province, Dhahran - Saudi Arabia",-Bachelor or Masters Degree in Computer Science or Engineering - Develop effective reporting using various BI tools - Support in creation of ETL jobs...
0,MEP Quantity Surveyor - MUST BE IN KSA,10 - 16 Year(s),Jeddah - Saudi Arabia,Urgently required to join a MEP contractor in KSA working on a range of building developments including high rise residential and hotels;The successful...
0,Project Architect - Real Estate,5 - 10 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Dammam - Saudi Arabia",Requirements \tProven 5-8 years working experience as an architect \tStrong portfolio to prove artistic skills \tExpert knowledge of building...
0,Project Manager,8 - 15 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Dammam - Saudi Arabia",Professional experience and competencies
0,Facilities Manager - Real Estate,5 - 10 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Dammam - Saudi Arabia",Education and requirements
0,Properties Manager - Real Esatate,8 - 15 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Dammam - Saudi Arabia",MBA degree from reputable business school is a must;Continuously assess the properties portfolio and ensure the right mix of properties is managed in...
0,VSAT Engineer,2 - 5 Year(s),Riyadh - Saudi Arabia,"We are looking for VSAT Engineer for Riyadh, Saudi Arabia. Key Responsibilities "
0,Project Manager,8 - 15 Year(s),"Dammam/Khobar/Eastern Province , Dhahran - Saudi Arabia",•\tCapable to Review CVs of competent personal required for the project and conduct Technical Interviews •\tTraining and guiding personnel to...
0,Associate Manager - Key Accounts (Arabic Speaker),5 - 10 Year(s),Riyadh - Saudi Arabia,Increase the distribution coverage by opening new accounts and evaluating their potential. Responsible for the achievement of category wise budgeted...
0,Registrar Oncologist,2 - 8 Year(s),"Jizan , Najran - Saudi Arabia",A Doctor must have a MD/DNB degree with minimum 2 years of experience
0,Registrar Pediatrics,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have a MD/DNB degree with minimum 2 years of experience
0,Registrar Obstetrics & Gynecology,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have a MD/MS/DNB degree with minimum 2 years of experience
0,Senior Registrar Radiologist,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have a MD/DNB with 5 years of experience
0,Specialist ER,2 - 8 Year(s),"Riyadh , Dammam - Saudi Arabia",A doctor must have a MEM/DNB/MD with minimum 2 years of experience
0,stock control,25 - 30+ Year(s),Riyadh - Saudi Arabia,Daily stock control under the supervision of the warehouse keeper
0,Finance Manager,12 - 25 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia","Qualified accountant (CA, ICWAI, CPA equivalents, M.Com, MBA ( Finance ) or accounting degree) preferred, although consideration will be given to..."
0,Restaurant Manager,1 - 6 Year(s),Al Khobar - Saudi Arabia,Should have previous experience in same field of work ( Hotels & Restaurants ) - Should be able to train staff - Should be able to manage...
0,General Accountant,5 - 10 Year(s),"Dammam, Jeddah, Riyadh - Saudi Arabia",Additional certification (CPA or CMA) & valid driving license is a plus;5 years of accounting experience;Advanced MS Excel skills Experience with...
0,Elevator Inspector,4 - 7 Year(s),Saudi - Saudi Arabia,"Saudi for ARAMCO,installations,Manufacturing plant experience;Saudi for ARAMCO,installations,Manufacturing plant experience"
0,Restaurant Manager,1 - 6 Year(s),Al Khobar - Saudi Arabia,Should have previous experience in same field of work ( Hotels & Restaurants ) - Should be able to train staff - Should be able to manage...
0,TESTING & COMMISSIONING ENGINEER,2 - 4 Year(s),"Dammam, Jeddah, Riyadh - Saudi Arabia","ELECTRICAL RELAY/SWITCHGEAR/TRANSFORMER TESTING.CT/VT ,CB TESTING etc."
0,Document Controller,1 - 5 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,Must have good experience in Excel Good Communication skills
0,Database & Training Administration Specialist,10 - 16 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,o\tExposure in developing databases and Managing Database Analysis o\tExpert in using MS office Preferably
0,Specialist Orthopaedic Surgeon,2 - 8 Year(s),"Abha , Al Qasim , Dammam - Saudi Arabia",Doctors must have MS/DNB with minimum2 years of experience;Urgent requirement for Orthopedics in AMI SAUDI
0,Pega Developers,4 - 9 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,o\tAt least 4-6 years experience in Pega o\tMust be Well-versed in PRPC (Pega Rules Process commander ) o\tMust have knowledge and experience in...
0,Consultant Internal Medicine,2 - 8 Year(s),"Jeddah , Al Qasim , Dammam - Saudi Arabia",A doctor must have an MRCP/ FRCP degree with minimum 3 years of experience
0,Registrar Dermatologist,2 - 8 Year(s),"Jeddah , Riyadh , Dammam - Saudi Arabia",A doctor miust have a MD/MS/DNB with minimum 2 years of experience.i
0,Registrar Radiologist,2 - 8 Year(s),"Abha , Al Qasim , Dammam - Saudi Arabia",A doctor must a MD/DNB degree with minimum 2 years of experience
0,Registrar/ Specialist ENT,2 - 8 Year(s),"Jeddah , Al Qasim , Dammam - Saudi Arabia",A doctor must a MS/DNB degree with minimum 2 years of experience
0,Senior Registrar Pediatrics,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have MD/DNB Degree with minimum 5 years of experience
0,Consultant Pediatrician,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have a Superspecialisation degree for Pediatrics department;MRCPCH/ DM is required with Minimum 3 years of experience
0,Assistant Consultant Neonatalogy/ NICU,2 - 8 Year(s),Riyadh - Saudi Arabia,A doctor must have MD/DNB Degree with Minimum 3 years of experience
0,Specialist ER,2 - 8 Year(s),"Riyadh , Al Khobar , Al Qasim - Saudi Arabia","Job openings in Dr. Sulaiman Al-Habib Medical group, Riyadh for doctors in Emergency department."
0,Registrar Obstetrics & Gyneacology,2 - 8 Year(s),Riyadh - Saudi Arabia,"Job Openings for OBG doctors in Dallah Hospital, Riyadh, KSA . A doctors must MD/DNB/MS/MRCOG"
0,Sales Executive,2 - 5 Year(s),"Dammam/Khobar/Eastern Province , Dammam - Saudi Arabia",Visit potential customers for new business Negotiate the terms of an agreement and close sales Gather market and customer information and provide...
0,Civil Inspector -QA QC,5 - 10 Year(s),"Jubail , Ras al Khair - Saudi Arabia",Generate and track to completion all recommendations for addressing civil issues \tReview the design package for the maintenance and projects to convey...
0,Engineer - Fixed Equipment,4 - 9 Year(s),Jubail - Saudi Arabia,-\tReview the design package for the projects to convey the QA/QC and reliability requirement & Perform on-stream inspections on stationary...
0,Inspector - Fixed Equipment,7 - 14 Year(s),Jubail - Saudi Arabia,-\tReview the design package for the projects to convey the QA/QC and reliability requirement & Perform on-stream inspections on stationary...
0,Systems Management Analyst Pl engineer,10 - 15 Year(s),Saudi Arabia - Saudi Arabia,"Deploy Hadoop cluster, add and remove nodes, keep track of jobs, monitor critical parts of the cluster, configure name-node high availability, schedule..."
0,Digital Labs Specialist,10 - 15 Year(s),Saudi Arabia - Saudi Arabia,"7+ years’ engineering experience working within a global enterprise environment, preferably in petrochemicals or manufacturing"
0,Education Specialist,10 - 15 Year(s),Saudi Arabia - Saudi Arabia,"7+ years’ education field experience working within a global enterprise environment, preferably in petrochemicals or manufacturing;For example,..."
0,"Digital Strategy, Archt. & Standard Analyst",10 - 16 Year(s),KSA - Saudi Arabia,5+ years experience with ETL tools;Possess a fundamental understand and experience on educating the business on providinginsights and actions through...
0,Machinist,5 - 10 Year(s),Jubail - Saudi Arabia,Measure and sketch parts that requires fabrication in future Identify and request for the tools and materials needed in Machine Shop Will work...
0,Turbine Technician & Machinist,5 - 8 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,Good knowledge to set up the large parts with very precise value;Should have an experience with the machining activists on these components (Turbine...
0,Store Keeper,2 - 5 Year(s),Riyadh - Saudi Arabia,Education
0,Senior Tendering Engineer,10 - 15 Year(s),"Riyadh , Al Khobar , Dammam - Saudi Arabia",Bachelor Degree in Engineering Minimum 10 years experience Fluent in Arabic & English
0,Officer Administrator,5 - 10 Year(s),"Riyadh , Dammam , Dhahran - Saudi Arabia",1.\tCompile and preparing bid documents as per Bid Manager instructions. 2.\tFloat RFP / RFQ to subcontractors as per Bid Manager instructions....
0,Technical Engineer ( BMS ),5 - 10 Year(s),"Dammam/Khobar/Eastern Province , Riyadh , Dhahran - Saudi Arabia",5 years experience in BMS operation ( Schneider ) Technical degree diploma or higher AutoCAD experience and PC softwares experience;Understanding of...
0,HVAC technician,5 - 10 Year(s),Riyadh - Saudi Arabia,Technical diploma or higher in Mechanical qualifications 5 years experience in HVAC units and preferred experience in CHWS
0,Electrical LC,5 - 10 Year(s),"Riyadh , Al Khobar , Dammam - Saudi Arabia",5 years experience in maintenance tasks such as 
0,Logistics Manager,2 - 5 Year(s),Saudi Arabia - Saudi Arabia,2 5 years relevant working experience;Good personality and communication skills;Good public relation skills;Preferred; \tFluent in English and Arabic...
0,Construction Manager,10 - 16 Year(s),Saudi Arabia - Saudi Arabia,Sound knowledge and experience in managing construction sites;10 years experience in the construction industry;Exposure in design & build and turnkey...
0,QA QC Engineer,10 - 16 Year(s),Riyadh - Saudi Arabia,"Coordinating the documentation, including planning, reviewing and updating of the Quality Plan, the Project Management Plan and other documentation..."
0,Saudi Arabia - Consultant level Doctor,5 - 10 Year(s),"Al Madina Al Munawarah , Riyadh , Dammam - Saudi Arabia",I am also happy to answer any other questions you may have about the position;Required Posts
0,Cad Draftsman,2 - 8 Year(s),Al Khobar - Saudi Arabia,Main job duty is to create technical drawings based on given specifications and calculations. Draftsmen typically work with professionals in their...
0,Operation Executive,2 - 5 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",WORK EXPERIENCE AND BACKGROUND REQUIREMENTS •\tFreight-forwarding or Carrie Operations experience required •\tExperience using a customer...
0,Senior Director Logistics - Liner Shipping,17 - 30+ Year(s),Riyadh - Saudi Arabia,- Major shipping company seeking a senior executive to run their liner business - Should have previous experience in similar capacity
0,Obstetric Technician,6 - 8 Year(s),Riyadh - Saudi Arabia,"The responsible person should also assists the team during examinations, deliveries (NVD, C/S) and other procedures for which she has received..."
0,Optometrist,3 - 5 Year(s),Riyadh - Saudi Arabia,"The Optometrist should be competent in using diagnostic equipment including but not limited to topography, ultrasound A & B scan, FFA,..."
0,Patient Educator,3 - 5 Year(s),Riyadh - Saudi Arabia,The PE should provide independent health education advice and support under the direction of the Consultant or designee;Requirements the candidate...
0,Respiratory Therapy Technician,2 - 4 Year(s),Riyadh - Saudi Arabia,Monitor patients response during treatment and report any unusual reactions to the physician and Respiratory Therapist Supervisor Maintain artificial...
0,Ultrasound Technologist II,3 - 5 Year(s),Riyadh - Saudi Arabia,"The candidate must have previous experience in the operation of respiratory therapy equipment such as oxygen cylinders, humidifiers, nebulizers,..."
0,MRI Technologist,6 - 8 Year(s),Riyadh - Saudi Arabia,Organize scheduling of patients for procedures Set up and explain MRI procedures; position patients for each anatomical view specified using...
0,Business Development Manager - KSA ( Construction/Project Sales),12 - 20 Year(s),"Jeddah , Riyadh - Saudi Arabia","Must have an excellent network with the main construction companies, consultants project offices, etc in Saudi"
0,Human Capital Manager for Transformation,0 Year(s),Al Khobar - Saudi Arabia,Key Responsibilities/Accountabilities
0,Payroll Supervisor,4 - 8 Year(s),Riyadh - Saudi Arabia,"Pay-roll calculations, leaves & EOS calculations, employee benefits etc."
0,Healthcare Change Manager,12 - 18 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia","Experience and knowledgeable of change management principles, methodologies and tools;Familiar with project management approaches, tools and phases of..."
0,Anesthesia Technician,4 - 6 Year(s),Riyadh - Saudi Arabia,The candidate should Minimum of two years post-registration experience as Anesthesia Technician of Technologist required;Only Anesthesia Technicians...
0,CSSD Technician,3 - 6 Year(s),Riyadh - Saudi Arabia,"Our client, a well-established Medical group looking for an experienced CSSD Technician for retrieving supplies from storage and distributing them to..."
0,CT Technologist II,3 - 5 Year(s),Riyadh - Saudi Arabia,Organize scheduling of patients for procedures Set up and explain CT procedures; position patients for each anatomical view specified using...
0,"Sales Executive & Sales Manager - Aluminum Cladding, Glazing",5 - 10 Year(s),"Dammam/Khobar/Eastern Province , Riyadh , Dammam - Saudi Arabia",Job Description The role of the Sales Executives & Managers Architectural Aluminium & Curtain Walling will involve
0,Store Keeper - Construction,8 - 15 Year(s),Saudi Arabia - Saudi Arabia,"The successful candidate will be responsible for handling of inventory, checking stock, material planning etc Applicants should meet the following..."
0,Financial Analyst - Corporate Strategy & Business Development,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,Qualifications
0,HSE Officer,8 - 12 Year(s),Dammam - Saudi Arabia,This position is project-specific and hence the ideal candidate should have experience in managing HSE at project-site and ensuring strict compliance to...
0,Registered Staff Nurse,5 - 10 Year(s),Dhahran - Saudi Arabia,Nursing Supervisor Male or female Minimum 8 Years of experience and 3 Years in supervisory role;General Nurse Wound care nurse Male or Female...
0,Operations Specialist - Mineral & Cargo,4 - 9 Year(s),Saudi Arabia - Saudi Arabia,Key Responsibilities Include
0,Contract & Performance Management Specialist,3 - 6 Year(s),"Jeddah , Makkah Al Mukarramah - Saudi Arabia",Administer and Review all Contractors/Consultants claims Performs any other roles and responsibilities assigned as required;Minimum of 3 years of...
0,Train Master - Freight Operations,4 - 9 Year(s),Saudi Arabia - Saudi Arabia,Undertake any training as required by SAR Ensure that train crews are trained to handle DG trains and report DG trains incidents Assist in the...
0,Enterprise Risk Management Manager - Riyadh HQ,12 - 24 Year(s),Riyadh - Saudi Arabia,- Skills Business Continuity Management/ Risk Management - ERM/INS/BCM unit reports directly to the Director of Corporate Control - BS in...
0,Principle Technical Specialist - Track,4 - 8 Year(s),Saudi Arabia - Saudi Arabia,"QUALIFICATIONS, EXPERIENCE, & COMPETENCIES"
0,Technical Specialist (Track Maintenance),4 - 8 Year(s),Riyadh - Saudi Arabia,QUALIFICATIONS
0,Budgeting & Planning Manager - Finance,7 - 10 Year(s),Saudi Arabia - Saudi Arabia,Key Accountabilities Development of budget policy & process
0,Budgeting Supervisor - Finance,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,SAR is looking for an experienced Budgeting & Planning Supervisor to join the Finance Department and manage the full-cycle of budget and financial Plan...
0,Senior Locomotive Engineer (Rolling Stock Maintenance Team),8 - 12 Year(s),Saudi Arabia - Saudi Arabia,Embed health and safety within all daily activities Senior Locomotive Engineer Skills Demonstrable leadership and organizational skills...
0,Competence Assessor - Rolling Stock Maintenance Management,10 - 16 Year(s),Saudi Arabia - Saudi Arabia,"QUALIFICATIONS, EXPERIENCE, & COMPETENCIES Mechanical or electrical engineering qualification (either apprenticeship or degree) A1 Assessor..."
0,Railway Yard Foreman,2 - 6 Year(s),Saudi Arabia - Saudi Arabia,Key Responsibilities include
0,Wagon Foreman - Rolling Stock Maintenance Team,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,Experience
0,Technician,2 - 5 Year(s),Riyadh - Saudi Arabia,He should have at least of 2 years experience in this field in Riyadh;He should know how to read the drawings and speaking a little Arabic
0,Urgent Opening for AP Accountant for MNC Group in Saudi Arabia,3 - 8 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,We are looking for someone who will be handling the following responsibilities with the business - Assisting to ensure proper accounting of...
0,HSE Manager Construction,15 - 26 Year(s),Ras al Khair - Saudi Arabia,Candidates should have a degree and should have a proven background as a health and safety manager working on major construction projects in the Middle...
0,HSE Officer Construction,15 - 25 Year(s),Ras al Khair - Saudi Arabia,"candidates should have a degree in health and safety, construction or an engineering field and should have a proven background as a health and safety..."
0,Construction Manager,10 - 15 Year(s),Saudi Arabia - Saudi Arabia,We are looking for a Construction Manager Candidates should have min 10 years of experience Should have Field experience in Refractory...
0,Engineer Refractory,5 - 10 Year(s),Saudi Arabia - Saudi Arabia,We are looking for Engineer Refractory Candidates should have min 5 years of experience in Refractory installation Projects with Specialization...
0,Project Quality Supervisor,10 - 16 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,"Ten (10) years of inspection experience with a minimum of five (5) years inspection supervision;ARAMCO experience will be an added advantage;However,..."
0,Toolroom Incharge / CNC Machinist,5 - 10 Year(s),Riyadh - Saudi Arabia,"Must Have good knowledge and able to operate of all machinery used in tool room like CNC Lathe, CNC milling, EDM, Radial drilling, surface grinding..."
0,Sales Executive,2 - 5 Year(s),"Dammam/Khobar/Eastern Province , Jeddah , Riyadh - Saudi Arabia",•\t Build client and maintain relationships to enable repeat business and growth WORK EXPERIENCE AND BACKGROUND REQUIREMENTS...
0,Mechanic- fire alarm,1 - 3 Year(s),Riyadh - Saudi Arabia,"We are a safety company looking for a workforce from within (in the Kingdom of Saudi Arabia) qualified in the fire alarm system,, must you have..."
0,Business Development Executive,5 - 6 Year(s),Dammam/Khobar/Eastern Province - Saudi Arabia,"Efficient Sales individul who have experience in IT product Sales such as ERP, SAP, Oracle etc"
